14
Toy 15 25 12 12 12
to get this problem wrong 101 100 0 0 0
a b c d e f g h i j k l m n o p q r s t u v w x y z 100 101 0 0 0
this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends this never ends 12 12 12 12 12
Big Toy 15 25 1000 1000 1000
Nothing 1 100 0 0 0
Really Nothing 1 1 0 0 0
True Love 999999 999998 0 0 0
Thing One 1 1.000625 1 1 1
Thing Two 1 1.07 2 2 2
Thing Three 10 11.45 6 6 6
Thing Four 100 111.5 12 12 12
Thing Five 1000 1062.667 20 20 20
Thing Six 10000 1441720 69 420 360
